Config,Mean Delta,t-stat,p-value,Sig,Estimated_HR_at_10
top3_no_tags,0.0000,-,-,-,0.2991
single_actors,-0.0355,-2.506,0.0664,ns,0.2636
single_directors,-0.0738,-10.415,0.0005,***,0.2253
single_genres,-0.2023,-12.485,0.0002,***,0.0968
top3_countries,+0.0012,2.5,0.0668,ns,0.3003
top3_locations,+0.0002,1.122,0.3248,ns,0.2993
top3_years,+0.0015,5.416,0.0056,**,0.3006
base9_no_tags,+0.0075,4.191,0.0138,*,0.3066
single_tags,+0.2080,12.796,0.0002,***,0.5071
top3_tags_safe,+0.2501,29.844,0.0000,***,0.5492
base9_tags_safe,+0.2484,31.965,0.0000,***,0.5475
top3_tags_full,+0.2839,32.621,0.0000,***,0.5830
tags_shuffled,+0.0013,9.412,0.0007,***,0.3004
